Kod;Wskaźniki;Rok;Wartosc;Jednostka miary
0;drogi ekspresowe i autostrady na 1000 km2;2003;2,02;km
0;drogi ekspresowe i autostrady na 1000 km2;2004;2,51;km
0;drogi ekspresowe i autostrady na 1000 km2;2005;2,59;km
0;drogi ekspresowe i autostrady na 1000 km2;2006;3,07;km
0;drogi ekspresowe i autostrady na 1000 km2;2007;3,17;km
0;drogi ekspresowe i autostrady na 1000 km2;2008;3,89;km
0;drogi ekspresowe i autostrady na 1000 km2;2009;4,38;km
0;drogi ekspresowe i autostrady na 1000 km2;2010;4,9;km
0;drogi ekspresowe i autostrady na 1000 km2;2011;5,78;km
0;drogi ekspresowe i autostrady na 1000 km2;2012;7,73;km
0;drogi ekspresowe i autostrady na 1000 km2;2013;8,72;km
0;drogi ekspresowe i autostrady na 1000 km2;2014;9,61;km
0;drogi ekspresowe i autostrady na 1000 km2;2015;9,76;km
0;autostrady na 1000 km2;2003;1,3;km
0;autostrady na 1000 km2;2004;1,76;km
0;autostrady na 1000 km2;2005;1,76;km
0;autostrady na 1000 km2;2006;2,12;km
0;autostrady na 1000 km2;2007;2,12;km
0;autostrady na 1000 km2;2008;2,45;km
0;autostrady na 1000 km2;2009;2,72;km
0;autostrady na 1000 km2;2010;2,74;km
0;autostrady na 1000 km2;2011;3,42;km
0;autostrady na 1000 km2;2012;4,37;km
0;autostrady na 1000 km2;2013;4,74;km
0;autostrady na 1000 km2;2014;4,98;km
0;autostrady na 1000 km2;2015;4,99;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2003;0,96;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2004;0,97;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2005;0,97;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2006;4,14;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2007;4,13;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2008;4,24;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2009;4,24;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2010;4,24;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2011;4,24;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2012;15,42;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2013;16,08;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2014;22,25;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2015;22,25;km
1100000000;autostrady na 1000 km2;2003;0,96;km
1100000000;autostrady na 1000 km2;2004;0,97;km
1100000000;autostrady na 1000 km2;2005;0,97;km
1100000000;autostrady na 1000 km2;2006;4,14;km
1100000000;autostrady na 1000 km2;2007;4,13;km
1100000000;autostrady na 1000 km2;2008;4,24;km
1100000000;autostrady na 1000 km2;2009;4,24;km
1100000000;autostrady na 1000 km2;2010;4,24;km
1100000000;autostrady na 1000 km2;2011;4,24;km
1100000000;autostrady na 1000 km2;2012;10,3;km
1100000000;autostrady na 1000 km2;2013;9,74;km
1100000000;autostrady na 1000 km2;2014;10,3;km
1100000000;autostrady na 1000 km2;2015;10,3;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2003;0,6;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2004;1,07;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2005;1,07;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2006;1,07;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2007;1,43;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2008;2,38;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2009;2,98;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2010;3,47;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2011;3,76;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2012;5,87;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2013;6,78;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2014;6,69;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2015;7,17;km
1140000000;autostrady na 1000 km2;2003;0;km
1140000000;autostrady na 1000 km2;2004;0;km
1140000000;autostrady na 1000 km2;2005;0;km
1140000000;autostrady na 1000 km2;2006;0;km
1140000000;autostrady na 1000 km2;2007;0;km
1140000000;autostrady na 1000 km2;2008;0;km
1140000000;autostrady na 1000 km2;2009;0;km
1140000000;autostrady na 1000 km2;2010;0;km
1140000000;autostrady na 1000 km2;2011;0;km
1140000000;autostrady na 1000 km2;2012;1,85;km
1140000000;autostrady na 1000 km2;2013;1,87;km
1140000000;autostrady na 1000 km2;2014;1,78;km
1140000000;autostrady na 1000 km2;2015;1,87;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2003;3,47;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2004;3,94;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2005;4,17;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2006;4,14;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2007;4,14;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2008;4,94;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2009;6,49;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2010;6,67;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2011;6,67;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2012;10,48;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2013;10,41;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2014;11,38;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2015;11,38;km
2120000000;autostrady na 1000 km2;2003;3,47;km
2120000000;autostrady na 1000 km2;2004;3,94;km
2120000000;autostrady na 1000 km2;2005;3,94;km
2120000000;autostrady na 1000 km2;2006;3,91;km
2120000000;autostrady na 1000 km2;2007;3,91;km
2120000000;autostrady na 1000 km2;2008;3,91;km
2120000000;autostrady na 1000 km2;2009;5,24;km
2120000000;autostrady na 1000 km2;2010;5,24;km
2120000000;autostrady na 1000 km2;2011;5,23;km
2120000000;autostrady na 1000 km2;2012;9,04;km
2120000000;autostrady na 1000 km2;2013;8,98;km
2120000000;autostrady na 1000 km2;2014;9,95;km
2120000000;autostrady na 1000 km2;2015;9,95;km
2240000000;drogi ekspresowe i autostrady na 1000 km2;2003;7,53;km
2240000000;drogi ekspresowe i autostrady na 1000 km2;2004;9,04;km
2240000000;drogi ekspresowe i autostrady na 1000 km2;2005;9,58;km
2240000000;drogi ekspresowe i autostrady na 1000 km2;2006;12,79;km
2240000000;drogi ekspresowe i autostrady na 1000 km2;2007;13,32;km
2240000000;drogi ekspresowe i autostrady na 1000 km2;2008;14,96;km
2240000000;drogi ekspresowe i autostrady na 1000 km2;2009;16,18;km
2240000000;drogi ekspresowe i autostrady na 1000 km2;2010;17,02;km
2240000000;drogi ekspresowe i autostrady na 1000 km2;2011;19,79;km
2240000000;drogi ekspresowe i autostrady na 1000 km2;2012;23,08;km
2240000000;drogi ekspresowe i autostrady na 1000 km2;2013;23,08;km
2240000000;drogi ekspresowe i autostrady na 1000 km2;2014;23,69;km
2240000000;drogi ekspresowe i autostrady na 1000 km2;2015;24,92;km
2240000000;autostrady na 1000 km2;2003;2,45;km
2240000000;autostrady na 1000 km2;2004;5,26;km
2240000000;autostrady na 1000 km2;2005;5,26;km
2240000000;autostrady na 1000 km2;2006;5,91;km
2240000000;autostrady na 1000 km2;2007;5,92;km
2240000000;autostrady na 1000 km2;2008;6,77;km
2240000000;autostrady na 1000 km2;2009;8,08;km
2240000000;autostrady na 1000 km2;2010;8,71;km
2240000000;autostrady na 1000 km2;2011;10,53;km
2240000000;autostrady na 1000 km2;2012;13,69;km
2240000000;autostrady na 1000 km2;2013;13,69;km
2240000000;autostrady na 1000 km2;2014;14,3;km
2240000000;autostrady na 1000 km2;2015;14,3;km
3060000000;drogi ekspresowe i autostrady na 1000 km2;2003;0;km
3060000000;drogi ekspresowe i autostrady na 1000 km2;2004;0,17;km
3060000000;drogi ekspresowe i autostrady na 1000 km2;2005;0,17;km
3060000000;drogi ekspresowe i autostrady na 1000 km2;2006;0,17;km
3060000000;drogi ekspresowe i autostrady na 1000 km2;2007;0,17;km
3060000000;drogi ekspresowe i autostrady na 1000 km2;2008;0,17;km
3060000000;drogi ekspresowe i autostrady na 1000 km2;2009;0,17;km
3060000000;drogi ekspresowe i autostrady na 1000 km2;2010;0,17;km
3060000000;drogi ekspresowe i autostrady na 1000 km2;2011;0,17;km
3060000000;drogi ekspresowe i autostrady na 1000 km2;2012;0,48;km
3060000000;drogi ekspresowe i autostrady na 1000 km2;2013;1,88;km
3060000000;drogi ekspresowe i autostrady na 1000 km2;2014;3,16;km
3060000000;drogi ekspresowe i autostrady na 1000 km2;2015;3,16;km
3060000000;autostrady na 1000 km2;2003;0;km
3060000000;autostrady na 1000 km2;2004;0;km
3060000000;autostrady na 1000 km2;2005;0;km
3060000000;autostrady na 1000 km2;2006;0;km
3060000000;autostrady na 1000 km2;2007;0;km
3060000000;autostrady na 1000 km2;2008;0;km
3060000000;autostrady na 1000 km2;2009;0;km
3060000000;autostrady na 1000 km2;2010;0;km
3060000000;autostrady na 1000 km2;2011;0;km
3060000000;autostrady na 1000 km2;2012;0;km
3060000000;autostrady na 1000 km2;2013;0;km
3060000000;autostrady na 1000 km2;2014;0;km
3060000000;autostrady na 1000 km2;2015;0;km
3180000000;drogi ekspresowe i autostrady na 1000 km2;2003;0;km
3180000000;drogi ekspresowe i autostrady na 1000 km2;2004;0;km
3180000000;drogi ekspresowe i autostrady na 1000 km2;2005;0;km
3180000000;drogi ekspresowe i autostrady na 1000 km2;2006;0;km
3180000000;drogi ekspresowe i autostrady na 1000 km2;2007;0;km
3180000000;drogi ekspresowe i autostrady na 1000 km2;2008;0;km
3180000000;drogi ekspresowe i autostrady na 1000 km2;2009;0;km
3180000000;drogi ekspresowe i autostrady na 1000 km2;2010;0;km
3180000000;drogi ekspresowe i autostrady na 1000 km2;2011;0;km
3180000000;drogi ekspresowe i autostrady na 1000 km2;2012;0,74;km
3180000000;drogi ekspresowe i autostrady na 1000 km2;2013;5,73;km
3180000000;drogi ekspresowe i autostrady na 1000 km2;2014;6,91;km
3180000000;drogi ekspresowe i autostrady na 1000 km2;2015;6,89;km
3180000000;autostrady na 1000 km2;2003;0;km
3180000000;autostrady na 1000 km2;2004;0;km
3180000000;autostrady na 1000 km2;2005;0;km
3180000000;autostrady na 1000 km2;2006;0;km
3180000000;autostrady na 1000 km2;2007;0;km
3180000000;autostrady na 1000 km2;2008;0;km
3180000000;autostrady na 1000 km2;2009;0;km
3180000000;autostrady na 1000 km2;2010;0;km
3180000000;autostrady na 1000 km2;2011;0;km
3180000000;autostrady na 1000 km2;2012;0,38;km
3180000000;autostrady na 1000 km2;2013;5,12;km
3180000000;autostrady na 1000 km2;2014;6,29;km
3180000000;autostrady na 1000 km2;2015;6,27;km
3200000000;drogi ekspresowe i autostrady na 1000 km2;2003;0;km
3200000000;drogi ekspresowe i autostrady na 1000 km2;2004;0;km
3200000000;drogi ekspresowe i autostrady na 1000 km2;2005;0;km
3200000000;drogi ekspresowe i autostrady na 1000 km2;2006;0;km
3200000000;drogi ekspresowe i autostrady na 1000 km2;2007;0;km
3200000000;drogi ekspresowe i autostrady na 1000 km2;2008;0;km
3200000000;drogi ekspresowe i autostrady na 1000 km2;2009;0;km
3200000000;drogi ekspresowe i autostrady na 1000 km2;2010;0;km
3200000000;drogi ekspresowe i autostrady na 1000 km2;2011;0;km
3200000000;drogi ekspresowe i autostrady na 1000 km2;2012;0,53;km
3200000000;drogi ekspresowe i autostrady na 1000 km2;2013;1,64;km
3200000000;drogi ekspresowe i autostrady na 1000 km2;2014;1,64;km
3200000000;drogi ekspresowe i autostrady na 1000 km2;2015;2,27;km
3200000000;autostrady na 1000 km2;2003;0;km
3200000000;autostrady na 1000 km2;2004;0;km
3200000000;autostrady na 1000 km2;2005;0;km
3200000000;autostrady na 1000 km2;2006;0;km
3200000000;autostrady na 1000 km2;2007;0;km
3200000000;autostrady na 1000 km2;2008;0;km
3200000000;autostrady na 1000 km2;2009;0;km
3200000000;autostrady na 1000 km2;2010;0;km
3200000000;autostrady na 1000 km2;2011;0;km
3200000000;autostrady na 1000 km2;2012;0;km
3200000000;autostrady na 1000 km2;2013;0;km
3200000000;autostrady na 1000 km2;2014;0;km
3200000000;autostrady na 1000 km2;2015;0;km
3260000000;drogi ekspresowe i autostrady na 1000 km2;2003;2,03;km
3260000000;drogi ekspresowe i autostrady na 1000 km2;2004;2,02;km
3260000000;drogi ekspresowe i autostrady na 1000 km2;2005;2,02;km
3260000000;drogi ekspresowe i autostrady na 1000 km2;2006;2,02;km
3260000000;drogi ekspresowe i autostrady na 1000 km2;2007;2,02;km
3260000000;drogi ekspresowe i autostrady na 1000 km2;2008;2,02;km
3260000000;drogi ekspresowe i autostrady na 1000 km2;2009;2,51;km
3260000000;drogi ekspresowe i autostrady na 1000 km2;2010;2,51;km
3260000000;drogi ekspresowe i autostrady na 1000 km2;2011;4,62;km
3260000000;drogi ekspresowe i autostrady na 1000 km2;2012;4,61;km
3260000000;drogi ekspresowe i autostrady na 1000 km2;2013;4,88;km
3260000000;drogi ekspresowe i autostrady na 1000 km2;2014;4,88;km
3260000000;drogi ekspresowe i autostrady na 1000 km2;2015;4,88;km
3260000000;autostrady na 1000 km2;2003;0;km
3260000000;autostrady na 1000 km2;2004;0;km
3260000000;autostrady na 1000 km2;2005;0;km
3260000000;autostrady na 1000 km2;2006;0;km
3260000000;autostrady na 1000 km2;2007;0;km
3260000000;autostrady na 1000 km2;2008;0;km
3260000000;autostrady na 1000 km2;2009;0;km
3260000000;autostrady na 1000 km2;2010;0;km
3260000000;autostrady na 1000 km2;2011;0;km
3260000000;autostrady na 1000 km2;2012;0;km
3260000000;autostrady na 1000 km2;2013;0;km
3260000000;autostrady na 1000 km2;2014;0;km
3260000000;autostrady na 1000 km2;2015;0;km
4080000000;drogi ekspresowe i autostrady na 1000 km2;2003;1,25;km
4080000000;drogi ekspresowe i autostrady na 1000 km2;2004;1,25;km
4080000000;drogi ekspresowe i autostrady na 1000 km2;2005;1,25;km
4080000000;drogi ekspresowe i autostrady na 1000 km2;2006;1,25;km
4080000000;drogi ekspresowe i autostrady na 1000 km2;2007;1,99;km
4080000000;drogi ekspresowe i autostrady na 1000 km2;2008;3,12;km
4080000000;drogi ekspresowe i autostrady na 1000 km2;2009;3,12;km
4080000000;drogi ekspresowe i autostrady na 1000 km2;2010;4,25;km
4080000000;drogi ekspresowe i autostrady na 1000 km2;2011;10,62;km
4080000000;drogi ekspresowe i autostrady na 1000 km2;2012;10,62;km
4080000000;drogi ekspresowe i autostrady na 1000 km2;2013;13,89;km
4080000000;drogi ekspresowe i autostrady na 1000 km2;2014;16,56;km
4080000000;drogi ekspresowe i autostrady na 1000 km2;2015;16,56;km
4080000000;autostrady na 1000 km2;2003;0;km
4080000000;autostrady na 1000 km2;2004;0;km
4080000000;autostrady na 1000 km2;2005;0;km
4080000000;autostrady na 1000 km2;2006;0;km
4080000000;autostrady na 1000 km2;2007;0;km
4080000000;autostrady na 1000 km2;2008;0;km
4080000000;autostrady na 1000 km2;2009;0;km
4080000000;autostrady na 1000 km2;2010;0;km
4080000000;autostrady na 1000 km2;2011;6,38;km
4080000000;autostrady na 1000 km2;2012;6,38;km
4080000000;autostrady na 1000 km2;2013;6,38;km
4080000000;autostrady na 1000 km2;2014;6,38;km
4080000000;autostrady na 1000 km2;2015;6,38;km
4300000000;drogi ekspresowe i autostrady na 1000 km2;2003;1,88;km
4300000000;drogi ekspresowe i autostrady na 1000 km2;2004;5,36;km
4300000000;drogi ekspresowe i autostrady na 1000 km2;2005;5,45;km
4300000000;drogi ekspresowe i autostrady na 1000 km2;2006;6,98;km
4300000000;drogi ekspresowe i autostrady na 1000 km2;2007;6,97;km
4300000000;drogi ekspresowe i autostrady na 1000 km2;2008;7,04;km
4300000000;drogi ekspresowe i autostrady na 1000 km2;2009;7,53;km
4300000000;drogi ekspresowe i autostrady na 1000 km2;2010;7,96;km
4300000000;drogi ekspresowe i autostrady na 1000 km2;2011;8,27;km
4300000000;drogi ekspresowe i autostrady na 1000 km2;2012;10,09;km
4300000000;drogi ekspresowe i autostrady na 1000 km2;2013;10,96;km
4300000000;drogi ekspresowe i autostrady na 1000 km2;2014;11,99;km
4300000000;drogi ekspresowe i autostrady na 1000 km2;2015;12,09;km
4300000000;autostrady na 1000 km2;2003;1,61;km
4300000000;autostrady na 1000 km2;2004;5,02;km
4300000000;autostrady na 1000 km2;2005;5,02;km
4300000000;autostrady na 1000 km2;2006;6,55;km
4300000000;autostrady na 1000 km2;2007;6,54;km
4300000000;autostrady na 1000 km2;2008;6,54;km
4300000000;autostrady na 1000 km2;2009;6,54;km
4300000000;autostrady na 1000 km2;2010;6,54;km
4300000000;autostrady na 1000 km2;2011;7,05;km
4300000000;autostrady na 1000 km2;2012;7,05;km
4300000000;autostrady na 1000 km2;2013;7,06;km
4300000000;autostrady na 1000 km2;2014;7,06;km
4300000000;autostrady na 1000 km2;2015;7,06;km
4320000000;drogi ekspresowe i autostrady na 1000 km2;2003;2,18;km
4320000000;drogi ekspresowe i autostrady na 1000 km2;2004;2,18;km
4320000000;drogi ekspresowe i autostrady na 1000 km2;2005;2,18;km
4320000000;drogi ekspresowe i autostrady na 1000 km2;2006;2,18;km
4320000000;drogi ekspresowe i autostrady na 1000 km2;2007;2,18;km
4320000000;drogi ekspresowe i autostrady na 1000 km2;2008;2,18;km
4320000000;drogi ekspresowe i autostrady na 1000 km2;2009;2,73;km
4320000000;drogi ekspresowe i autostrady na 1000 km2;2010;6,25;km
4320000000;drogi ekspresowe i autostrady na 1000 km2;2011;7,04;km
4320000000;drogi ekspresowe i autostrady na 1000 km2;2012;7,04;km
4320000000;drogi ekspresowe i autostrady na 1000 km2;2013;7,03;km
4320000000;drogi ekspresowe i autostrady na 1000 km2;2014;7,01;km
4320000000;drogi ekspresowe i autostrady na 1000 km2;2015;7,01;km
4320000000;autostrady na 1000 km2;2003;0,94;km
4320000000;autostrady na 1000 km2;2004;0,94;km
4320000000;autostrady na 1000 km2;2005;0,94;km
4320000000;autostrady na 1000 km2;2006;0,94;km
4320000000;autostrady na 1000 km2;2007;0,94;km
4320000000;autostrady na 1000 km2;2008;0,94;km
4320000000;autostrady na 1000 km2;2009;0,94;km
4320000000;autostrady na 1000 km2;2010;0,94;km
4320000000;autostrady na 1000 km2;2011;0,94;km
4320000000;autostrady na 1000 km2;2012;0,94;km
4320000000;autostrady na 1000 km2;2013;0,94;km
4320000000;autostrady na 1000 km2;2014;1,11;km
4320000000;autostrady na 1000 km2;2015;1,11;km
5020000000;drogi ekspresowe i autostrady na 1000 km2;2003;7,52;km
5020000000;drogi ekspresowe i autostrady na 1000 km2;2004;7,52;km
5020000000;drogi ekspresowe i autostrady na 1000 km2;2005;7,52;km
5020000000;drogi ekspresowe i autostrady na 1000 km2;2006;7,92;km
5020000000;drogi ekspresowe i autostrady na 1000 km2;2007;7,92;km
5020000000;drogi ekspresowe i autostrady na 1000 km2;2008;7,92;km
5020000000;drogi ekspresowe i autostrady na 1000 km2;2009;10,37;km
5020000000;drogi ekspresowe i autostrady na 1000 km2;2010;10,64;km
5020000000;drogi ekspresowe i autostrady na 1000 km2;2011;11,8;km
5020000000;drogi ekspresowe i autostrady na 1000 km2;2012;14,1;km
5020000000;drogi ekspresowe i autostrady na 1000 km2;2013;14,1;km
5020000000;drogi ekspresowe i autostrady na 1000 km2;2014;14,35;km
5020000000;drogi ekspresowe i autostrady na 1000 km2;2015;14,35;km
5020000000;autostrady na 1000 km2;2003;7,52;km
5020000000;autostrady na 1000 km2;2004;7,52;km
5020000000;autostrady na 1000 km2;2005;7,52;km
5020000000;autostrady na 1000 km2;2006;7,52;km
5020000000;autostrady na 1000 km2;2007;7,52;km
5020000000;autostrady na 1000 km2;2008;7,52;km
5020000000;autostrady na 1000 km2;2009;9,98;km
5020000000;autostrady na 1000 km2;2010;9,99;km
5020000000;autostrady na 1000 km2;2011;11,14;km
5020000000;autostrady na 1000 km2;2012;11,12;km
5020000000;autostrady na 1000 km2;2013;11,12;km
5020000000;autostrady na 1000 km2;2014;11,12;km
5020000000;autostrady na 1000 km2;2015;11,12;km
5160000000;drogi ekspresowe i autostrady na 1000 km2;2003;9,04;km
5160000000;drogi ekspresowe i autostrady na 1000 km2;2004;9,36;km
5160000000;drogi ekspresowe i autostrady na 1000 km2;2005;9,36;km
5160000000;drogi ekspresowe i autostrady na 1000 km2;2006;9,36;km
5160000000;drogi ekspresowe i autostrady na 1000 km2;2007;9,36;km
5160000000;drogi ekspresowe i autostrady na 1000 km2;2008;9,36;km
5160000000;drogi ekspresowe i autostrady na 1000 km2;2009;9,36;km
5160000000;drogi ekspresowe i autostrady na 1000 km2;2010;9,36;km
5160000000;drogi ekspresowe i autostrady na 1000 km2;2011;9,32;km
5160000000;drogi ekspresowe i autostrady na 1000 km2;2012;9,36;km
5160000000;drogi ekspresowe i autostrady na 1000 km2;2013;9,36;km
5160000000;drogi ekspresowe i autostrady na 1000 km2;2014;9,36;km
5160000000;drogi ekspresowe i autostrady na 1000 km2;2015;9,36;km
5160000000;autostrady na 1000 km2;2003;9,04;km
5160000000;autostrady na 1000 km2;2004;9,36;km
5160000000;autostrady na 1000 km2;2005;9,36;km
5160000000;autostrady na 1000 km2;2006;9,36;km
5160000000;autostrady na 1000 km2;2007;9,36;km
5160000000;autostrady na 1000 km2;2008;9,36;km
5160000000;autostrady na 1000 km2;2009;9,36;km
5160000000;autostrady na 1000 km2;2010;9,36;km
5160000000;autostrady na 1000 km2;2011;9,32;km
5160000000;autostrady na 1000 km2;2012;9,36;km
5160000000;autostrady na 1000 km2;2013;9,36;km
5160000000;autostrady na 1000 km2;2014;9,36;km
5160000000;autostrady na 1000 km2;2015;9,36;km
6040000000;drogi ekspresowe i autostrady na 1000 km2;2003;1,28;km
6040000000;drogi ekspresowe i autostrady na 1000 km2;2004;1,28;km
6040000000;drogi ekspresowe i autostrady na 1000 km2;2005;1,97;km
6040000000;drogi ekspresowe i autostrady na 1000 km2;2006;1,97;km
6040000000;drogi ekspresowe i autostrady na 1000 km2;2007;1,97;km
6040000000;drogi ekspresowe i autostrady na 1000 km2;2008;3,26;km
6040000000;drogi ekspresowe i autostrady na 1000 km2;2009;3,81;km
6040000000;drogi ekspresowe i autostrady na 1000 km2;2010;3,81;km
6040000000;drogi ekspresowe i autostrady na 1000 km2;2011;6,75;km
6040000000;drogi ekspresowe i autostrady na 1000 km2;2012;7,54;km
6040000000;drogi ekspresowe i autostrady na 1000 km2;2013;9,98;km
6040000000;drogi ekspresowe i autostrady na 1000 km2;2014;11,13;km
6040000000;drogi ekspresowe i autostrady na 1000 km2;2015;11,13;km
6040000000;autostrady na 1000 km2;2003;0;km
6040000000;autostrady na 1000 km2;2004;0;km
6040000000;autostrady na 1000 km2;2005;0;km
6040000000;autostrady na 1000 km2;2006;0;km
6040000000;autostrady na 1000 km2;2007;0;km
6040000000;autostrady na 1000 km2;2008;1,36;km
6040000000;autostrady na 1000 km2;2009;1,31;km
6040000000;autostrady na 1000 km2;2010;1,31;km
6040000000;autostrady na 1000 km2;2011;4,79;km
6040000000;autostrady na 1000 km2;2012;5,58;km
6040000000;autostrady na 1000 km2;2013;8,03;km
6040000000;autostrady na 1000 km2;2014;9,18;km
6040000000;autostrady na 1000 km2;2015;9,18;km
6220000000;drogi ekspresowe i autostrady na 1000 km2;2003;2,12;km
6220000000;drogi ekspresowe i autostrady na 1000 km2;2004;2,12;km
6220000000;drogi ekspresowe i autostrady na 1000 km2;2005;2,12;km
6220000000;drogi ekspresowe i autostrady na 1000 km2;2006;2,11;km
6220000000;drogi ekspresowe i autostrady na 1000 km2;2007;2,11;km
6220000000;drogi ekspresowe i autostrady na 1000 km2;2008;5,68;km
6220000000;drogi ekspresowe i autostrady na 1000 km2;2009;5,68;km
6220000000;drogi ekspresowe i autostrady na 1000 km2;2010;6,56;km
6220000000;drogi ekspresowe i autostrady na 1000 km2;2011;6,56;km
6220000000;drogi ekspresowe i autostrady na 1000 km2;2012;7,55;km
6220000000;drogi ekspresowe i autostrady na 1000 km2;2013;7,55;km
6220000000;drogi ekspresowe i autostrady na 1000 km2;2014;7,55;km
6220000000;drogi ekspresowe i autostrady na 1000 km2;2015;7,55;km
6220000000;autostrady na 1000 km2;2003;0;km
6220000000;autostrady na 1000 km2;2004;0;km
6220000000;autostrady na 1000 km2;2005;0;km
6220000000;autostrady na 1000 km2;2006;0;km
6220000000;autostrady na 1000 km2;2007;0;km
6220000000;autostrady na 1000 km2;2008;3,59;km
6220000000;autostrady na 1000 km2;2009;3,59;km
6220000000;autostrady na 1000 km2;2010;3,59;km
6220000000;autostrady na 1000 km2;2011;3,59;km
6220000000;autostrady na 1000 km2;2012;3,6;km
6220000000;autostrady na 1000 km2;2013;3,6;km
6220000000;autostrady na 1000 km2;2014;3,6;km
6220000000;autostrady na 1000 km2;2015;3,6;km
6280000000;drogi ekspresowe i autostrady na 1000 km2;2003;0,11;km
6280000000;drogi ekspresowe i autostrady na 1000 km2;2004;0,11;km
6280000000;drogi ekspresowe i autostrady na 1000 km2;2005;0,11;km
6280000000;drogi ekspresowe i autostrady na 1000 km2;2006;0,11;km
6280000000;drogi ekspresowe i autostrady na 1000 km2;2007;0,23;km
6280000000;drogi ekspresowe i autostrady na 1000 km2;2008;2,3;km
6280000000;drogi ekspresowe i autostrady na 1000 km2;2009;2,39;km
6280000000;drogi ekspresowe i autostrady na 1000 km2;2010;2,39;km
6280000000;drogi ekspresowe i autostrady na 1000 km2;2011;2,96;km
6280000000;drogi ekspresowe i autostrady na 1000 km2;2012;5,81;km
6280000000;drogi ekspresowe i autostrady na 1000 km2;2013;5,81;km
6280000000;drogi ekspresowe i autostrady na 1000 km2;2014;5,81;km
6280000000;drogi ekspresowe i autostrady na 1000 km2;2015;5,81;km
6280000000;autostrady na 1000 km2;2003;0;km
6280000000;autostrady na 1000 km2;2004;0;km
6280000000;autostrady na 1000 km2;2005;0;km
6280000000;autostrady na 1000 km2;2006;0;km
6280000000;autostrady na 1000 km2;2007;0;km
6280000000;autostrady na 1000 km2;2008;0;km
6280000000;autostrady na 1000 km2;2009;0;km
6280000000;autostrady na 1000 km2;2010;0;km
6280000000;autostrady na 1000 km2;2011;0;km
6280000000;autostrady na 1000 km2;2012;0,05;km
6280000000;autostrady na 1000 km2;2013;0;km
6280000000;autostrady na 1000 km2;2014;0;km
6280000000;autostrady na 1000 km2;2015;0;km
